pre,,post,,unmined control,,mined control,,10,,5,,0,
335.7773544,463.5059509,335.7773544,478.2927856,335.7773544,463.2944882,335.7773544,477.9887676,335.7773544,477.9334462,335.7773544,471.4341159,335.7773544,464.4693641
347.0614078,467.452301,347.0614078,478.3138123,347.0614078,467.2249521,347.0614078,478.0286294,347.0614078,477.9800555,347.0614078,472.3809135,347.0614078,464.5079346
358.3454611,476.5889282,358.3454611,480.355011,358.3454611,476.3015735,358.3454611,479.6396453,358.3454611,479.5541235,358.3454611,469.5648721,358.3454611,459.2945789
369.5656795,485.4818726,369.5656795,484.9584656,369.5656795,484.9239488,369.5656795,484.6367997,369.5656795,484.5916271,369.5656795,481.0979856,369.5656795,476.0977734
380.7858979,490.2148743,380.7858979,485.1889954,380.7858979,489.6940585,380.7858979,485.4540066,380.7858979,485.4122191,380.7858979,480.3104521,380.7858979,473.1326456
392.0061163,494.7097473,392.0061163,487.2462463,392.0061163,494.1847616,392.0061163,487.6840262,392.0061163,487.6559707,392.0061163,485.0115565,392.0061163,480.9062004
403.2263346,498.8135071,403.2263346,491.8937073,403.2263346,498.1994054,403.2263346,491.3302207,403.2263346,491.3040324,403.2263346,489.3216832,403.2263346,487.1718552
414.446553,505.2051392,414.446553,498.42099,414.446553,504.7022227,414.446553,497.8277855,414.446553,497.8059152,414.446553,496.1774759,414.446553,494.6221308
425.6667714,507.5157471,425.6667714,502.1172791,425.6667714,506.9124594,425.6667714,501.1837132,425.6667714,501.1667595,425.6667714,499.853994,425.6667714,498.7114905
436.8869898,508.078125,436.8869898,503.6803894,436.8869898,507.376461,436.8869898,503.1043146,436.8869898,503.0955053,436.8869898,502.5478964,436.8869898,502.1089975
448.1072082,511.1531067,448.1072082,507.316925,448.1072082,510.4873461,448.1072082,506.0296917,448.1072082,506.0230651,448.1072082,505.647118,448.1072082,505.3868478
459.3274265,508.4038696,459.3274265,506.0355225,459.3274265,507.9044298,459.3274265,505.0186856,459.3274265,505.0111873,459.3274265,504.6448605,459.3274265,504.4304455
470.5476449,504.6756592,470.5476449,503.6458435,470.5476449,504.3101004,470.5476449,502.4410931,470.5476449,502.4305561,470.5476449,501.9863883,470.5476449,501.7588521
481.7678633,504.5679016,481.7678633,503.488739,481.7678633,504.2921545,481.7678633,502.8854439,481.7678633,502.8755747,481.7678633,502.5011132,481.7678633,502.3195344
481.7678633,504.5679016,481.7678633,503.488739,481.7678633,504.2921545,481.7678633,502.8854439,481.7678633,502.8755747,481.7678633,502.5011132,481.7678633,502.3195344
